ngapak,indonesia,contributor,source_type,source_detail,notes
blijeg,kilat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bling,telanjang bulat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blithuk,lumpur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blonyoh,basah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bludag,meletus,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blukang,pelepah daun kelapa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bluluk,kelapa muda,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
blusuk,masuk ke pelosok,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bobol,jebol,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bobrok,rusak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bodol,rusak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bodong,rewel,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bodor,lucu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bogem,tinju,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bohong,bohong,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bojo,suami / istri,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bolak-balik,mondar-mandir,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
boleh,singkong,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
boleng,cacat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bolong,berlubang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
